https://www.levi.com/US/en_US/
 ,pageURL,https://www.levi.com/US/en_US/
 ,charSet,UTF-8
 ,cookiesEnabled,Y
 ,audienceManagerBlob,6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y
 ,browserWidth,1200
 ,browserHeight,710
 ,resolution,1440x900
 ,javascriptVersion,1.6
 ,javaEnabled,N
 ,linkTrackEvents,
 ,audienceManagerBlob,6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y
 ,visitorOptedOut,false
https://www.levi.jp/
 ,pageURL,Fail
 ,charSet,Fail
 ,cookiesEnabled,Fail
 ,audienceManagerBlob,Fail
 ,browserWidth,Fail
 ,browserHeight,Fail
 ,resolution,Fail
 ,javascriptVersion,Fail
 ,javaEnabled,Fail
 ,linkTrackEvents,Fail
 ,audienceManagerBlob,Fail
 ,visitorOptedOut,Fail
https://www.levi.com/CA/en_CA/
 ,pageURL,https://www.levi.com/CA/en_CA/
 ,charSet,UTF-8
 ,cookiesEnabled,Y
 ,audienceManagerBlob,6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y
 ,browserWidth,1200
 ,browserHeight,663
 ,resolution,1600x900
 ,javascriptVersion,1.6
 ,javaEnabled,N
 ,linkTrackEvents,
 ,audienceManagerBlob,6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y
 ,visitorOptedOut,false
